subjectLabel, subjectID, subjectLanguage, subjectPeriod, relation, objectLabel, objectID, objectLanguage, objectPeriod
Maṣḥafa faws manfasāwi                (Anonymous) no id Introduction3,LIT4018Mashafa#Introduction3, gez,Paks1 Paks2, saws:isVersionInAnotherLanguageOf, faṣl fī-mā yaǧibu ʿalā                         ṭ-ṭabīb maʿrifatihī ʾaʿnī muʿallim al-iʿtirāf,LIT4018Mashafa#t3arabic, ar,Paks1 Paks2
Abyssinische Chronik,LIT4090Haylu#t2, de, ZaMa, saws:isVersionInAnotherLanguageOf, Ḫāylu Compilation (general record),LIT4090Haylu#t1, Not available, ZaMa
Short Chronicles (Qʷaraṭā Recension),LIT4833ShortChroniclesQor, gez, Not available, saws:isVersionOf, Short Chronicles,LIT2352ShortC, gez,
Pseudo-trilingual royal inscriptions RIÉ                     270,LIT4851greekRoyal, gez, Not available, saws:isVersionInAnotherLanguageOf,Pseudo-trilingual royal inscriptions RIÉ 185,LIT4850pseudotrilingual, gez,
Dǝrsān za-bǝṣuʿ Fisālgos,LIT4915PhysA, gez, Not available, saws:isVersionOf, Physiologus (general record),LIT1401Physio, gez, Aks
Maṣḥafa faws manfasāwi (by Michael of ʾAṯrīb),LIT4017Mashafa#t1, gez,Paks1 Paks2, saws:isVersionInAnotherLanguageOf, Kitāb aṭ-ṭibb ar-rūḥānī,LIT4017Mashafa#t2arabic, ar,Paks1 Paks2
Zenā ṭǝbab za-Fisǝʾalgos ṭabib,LIT4917PhysC, gez, Not available, saws:isVersionOf, Physiologus (general record),LIT1401Physio, gez, Aks
Zenā mǝssāleyāt za-ṭabib Fisǝʾalgos,LIT4916PhysB, gez, Not available, saws:isVersionOf, Physiologus (general record),LIT1401Physio, gez, Aks
Pseudo-trilingual royal inscriptions RIÉ 185,LIT4850pseudotrilingual, gez, Not available, saws:isVersionInAnotherLanguageOf,Pseudo-trilingual royal inscriptions RIÉ                     270,LIT4851greekRoyal, gez,
Saʿātāt za-maʿālt,LIT2231Saatat, gez, Not available, saws:isVersionOf, Maṣḥafa saʿātāt (general record),LIT1961Mashaf, gez,
Zenā ʾƎskǝndǝr,LIT2616Zenaes#t1, gez, Not available, saws:isVersionInAnotherLanguageOf, Arabic Romance of Alexander,LIT2616Zenaes#t4arabic, ar,
Saʿātāt za-gǝbṣ,LIT2230Saatat, gez, Not available, saws:isVersionOf, Maṣḥafa saʿātāt (general record),LIT1961Mashaf, gez,
Saʿātāt za-gǝbṣ,LIT2230Saatat, gez, Not available, saws:isVersionInAnotherLanguageOf,No item: LIT3570Agbiya,LIT3570Agbiya, gez,
Taʾamra Śǝllāse,LIT2282Trinity, gez, Not available, saws:isVersionOf, Taʾammǝra Śǝllāse,LIT2388Taamme, gez,
Zenā nagaromu la-Śǝllāse,LIT2286ZenaSellase, gez, Not available, saws:isVersionOf, Taʾammǝra Śǝllāse,LIT2388Taamme, gez,
Zenā nagaromu la-Śǝllāse,LIT2286ZenaSellase, gez, Not available, saws:isVersionOf, Taʾammǝra Śǝllāse,LIT2388Taamme, gez,
